Joan Walley,opp
Mr. David Stewart,opp
Mr. William Hague,opp
Ms Dari Taylor,gov
Richard Drax,gov
Martin Horwood,gov
Mr. Brian Jenkins,opp
Edward Miliband,opp
Stephen Barclay,gov
Mark Pawsey,gov
Gareth Thomas,gov
Edward Miliband,opp
Jeremy Corbyn,opp
Mr. David Cameron,opp
Richard Burden,opp
Tim Loughton,gov
John Cryer,opp
Angus Robertson,opp
Miss Geraldine Smith,opp
Mr. Mark Francois,opp
Jeremy Corbyn,opp
Rosie Cooper,gov
George Osborne,gov
Mr Michael McCann,opp
Jeremy Corbyn,opp
Bob Russell,opp
Edward Miliband,opp
Mr. David Cameron,opp
Greg Mulholland,gov
Mr. Khalid Mahmood,gov
Mr. Iain Duncan  Smith,opp
Catherine McKinnell,opp
Simon Danczuk,opp
Phil Wilson,opp
Sir Simon Burns,gov
Mr. Michael Howard,opp
Nigel Dodds,cas
Heidi Alexander,opp
Emma Reynolds,opp
Mrs. Ann Winterton,opp
Mr Michael McCann,opp
Victoria Prentis,gov
Joan Walley,opp
Shona McIsaac,gov
Mr. Richard Burden,opp
Mr. Eric Joyce,gov
Mr. David Cameron,opp
Gordon Henderson,gov
Ms Harriet Harman,opp
Scott Mann,gov
Mr Barry Sheerman,opp
Edward Miliband,opp
Nic Dakin,opp
William Hague,gov
Mr. Martin Salter,gov
Mr. David Cameron,opp
Edward Miliband,opp
Andrew Bridgen,gov
Tom Brake,opp
Edward Miliband,opp
Mike Wood,gov
Simon Hart,gov
Denzil Davies,opp
Stephen Gilbert,gov
David T. C. Davies,gov
Mr. Mike Hall,opp
Helen Jones,opp
Mr. Alex Salmond,opp
James Brokenshire,opp
Jeremy Corbyn,opp
Mr Mark Francois,gov
Ruth George,opp
Edward Miliband,opp
Edward Miliband,opp
Mr. Martyn Jones,opp
Maria Eagle,opp
Edward Miliband,opp
Mr. Michael Howard,opp
Lilian Greenwood,opp
Claire Perry,gov
Mr Robin Walker,gov
Mr. Andrew Dismore,opp
Stephen Hammond,gov
Jessica Lee,gov
Ms Gisela Stuart,opp
Mr. David Cameron,opp
Ian Lavery,opp
Ian Lucas,opp
Mr. Iain Duncan  Smith,opp
Daniel Kawczynski,gov
Edward Miliband,opp
Emily Thornberry,opp
John Glen,gov
Miss Ann Widdecombe,opp
Jeremy Corbyn,opp
John Mann,opp
Mr. Fabian Hamilton,gov
Mr Philip Hollobone,gov
George Osborne,gov
Jeremy Corbyn,opp
Bill Wiggin,gov
Marcus Fysh,gov
Paul Flynn,gov
Mike Crockart,gov
Mr. Tom Clarke,opp
Jackie Doyle-Price,gov
Mr Khalid Mahmood,opp
Drew Hendry,opp
Nic Dakin,opp
Mary Creagh,gov
Jim Shannon,opp
Mr. David Cameron,opp
Jeremy Corbyn,opp
Debbie Abrahams,opp
Jeremy Corbyn,opp
Gavin Barwell,gov
Mr. Michael Ancram,opp
Mr. Charles Kennedy,opp
Charlie Elphicke,opp
Graeme Morrice,opp
Chi Onwurah,opp
Mr. Nicholas Winterton,opp
Edward Miliband,opp
Mr. Geoffrey Clifton-Brown,opp
Ruth Cadbury,opp
Derek Thomas,gov
Jessica Lee,gov
Penny Mordaunt,gov
Lilian Greenwood,opp
Jeremy Corbyn,opp
Mrs Sharon Hodgson,opp
Mr. Edward Leigh,opp
Damian Collins,gov
Chris Ruane,opp
Edward Miliband,opp
Mrs Sharon Hodgson,opp
Edward Miliband,opp
Ian Blackford,opp
Craig Whittaker,gov
Glyn Davies,gov
Mr. Michael Howard,opp
David Morris,gov
Mr. Michael Howard,opp
Mr. David Cameron,opp
Edward Miliband,opp
Valerie Vaz,opp
John Mann,opp
Mrs. Louise Ellman,opp
Christopher Pincher,gov
Mr. Iain Duncan Smith,opp
Craig Williams,gov
Mr. David Cameron,opp
Dr Julian Huppert,gov
Mr. Patrick McLoughlin,opp
Ms Oona King,opp
Mr. Michael Howard,opp
Ms Claire Ward,opp
Edward Miliband,opp
Tristram Hunt,opp
Andrew Bowie,gov
Mr. Richard Allan,opp
Andrew Percy,gov
Mr. James Arbuthnot,opp
Mr Mark Spencer,gov
Mr Clive Betts,opp
